Date,AAPL,JPM,MSFT,XOM
2020-01-02,72.46826934814453,119.5733413696289,152.7910919189453,53.661712646484375
2020-01-03,71.76371002197266,117.99542236328125,150.88861083984375,53.23030090332031
2020-01-06,72.3355484008789,117.9015884399414,151.27862548828125,53.63902282714844
2020-01-07,71.99535369873047,115.89722442626953,149.89930725097656,53.20002365112305
2020-01-08,73.15350341796875,116.80133056640625,152.28692626953125,52.39775085449219
2020-01-09,74.70734405517578,117.227783203125,154.189453125,52.798885345458984
2020-01-10,74.876220703125,116.05925750732422,153.4759979248047,52.32964324951172
2020-01-13,76.47590637207031,117.0230712890625,155.32147216796875,52.829166412353516
2020-01-14,75.44322967529297,118.38777923583984,154.22752380371094,52.37506103515625
2020-01-15,75.11992645263672,116.6136703491211,155.226318359375,52.29179382324219
2020-01-16,76.06092071533203,117.06571960449219,158.07061767578125,52.087440490722656
2020-01-17,76.90296173095703,117.87603759765625,158.9552764892578,51.89065170288086
2020-01-21,76.38182067871094,116.71603393554688,158.38450622558594,51.14892578125
2020-01-22,76.65446472167969,116.57954406738281,157.62350463867188,50.85374450683594
2020-01-23,77.02363586425781,116.46012878417969,158.59376525878906,50.535858154296875
2020-01-24,76.80165100097656,113.56867980957031,156.99571228027344,50.195274353027344
2020-01-27,74.54326629638672,112.61339569091797,154.3701934814453,48.99942398071289
2020-01-28,76.65203857421875,114.66043853759766,157.39520263671875,48.931312561035156
2020-01-29,78.25655364990234,114.48985290527344,159.84947204589844,48.522605895996094
2020-01-30,78.14315032958984,115.90571594238281,164.3584442138672,49.037269592285156
2020-01-31,74.67838287353516,112.89486694335938,161.93272399902344,47.016448974609375
2020-02-03,74.4732894897461,113.75633239746094,165.88043212890625,45.96440505981445
2020-02-04,76.93193817138672,115.39393615722656,171.34066772460938,45.389190673828125
2020-02-05,77.55925750732422,117.35572814941406,171.1314239501953,47.47813034057617
2020-02-06,78.46646118164062,117.37277221679688,174.6795654296875,46.83480453491211
2020-02-07,77.39990997314453,116.99750518798828,174.92691040039062,46.52448272705078
2020-02-10,77.76752471923828,117.48367309570312,179.50242614746094,46.03313064575195
2020-02-11,77.29832458496094,117.70542907714844,175.45008850097656,46.470741271972656
2020-02-12,79.13397979736328,117.70542907714844,175.70692443847656,47.03886032104492
2020-02-13,78.57047271728516,117.60307312011719,174.75572204589844,46.777835845947266
2020-02-14,78.58981323242188,117.2448501586914,176.3157501220703,46.56285858154297
